,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
161,1.1288783550262451,0.38589217118154084,0.0013345082600911458,0.00047148278552956437,10.0,balanced,l2,sag,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.54375,0.5559912008281573,0.019747996359917152,21,0.6074766355140186,0.6105919003115264,0.6490683229813664,0.622378952935637,0.018915039409035512
162,1.1752642790476482,0.07427352161248707,0.0016757647196451824,0.0004563140322579209,10.0,balanced,l2,saga,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
163,3.051257848739624,0.30000554356005804,0.0016695658365885417,0.00044677043442531206,10.0,balanced,l2,lbfgs,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5652173913043478,0.5590062111801242,0.5375,0.553907867494824,0.011875977894603434,26,0.6105919003115264,0.6292834890965732,0.6521739130434783,0.6306831008171926,0.017004609775713223
164,3.928673585255941,3.084652973844677,0.001288016637166341,0.0005103516001715116,10.0,balanced,none,newton-cg,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'newton-cg'}",0.5714285714285714,0.5714285714285714,0.53125,0.5580357142857143,0.018940360210353935,9,0.6074766355140186,0.6292834890965732,0.6490683229813664,0.6286094825306527,0.016986422621877766
165,0.7425782680511475,0.1609361065131657,0.0016507307688395183,0.0004270175629415306,10.0,balanced,none,sag,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'sag'}",0.5838509316770186,0.5403726708074534,0.525,0.5497412008281574,0.024922346811311072,42,0.6105919003115264,0.6105919003115264,0.6459627329192547,0.6223821778474359,0.016673970395425917
166,1.2668166160583496,0.001960691029749961,0.002015272776285807,1.4614797444275462e-05,10.0,balanced,none,saga,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
167,3.027308225631714,0.48099488349097536,0.0013349056243896484,0.0004706985804742708,10.0,balanced,none,lbfgs,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'none', 'solver': 'lbfgs'}",0.5590062111801242,0.5527950310559007,0.5375,0.5497670807453416,0.009037169252350197,32,0.6105919003115264,0.6261682242990654,0.6614906832298136,0.6327502692801352,0.02129419346113474
168,0.000667413075764974,0.0005039480877790254,0.0,0.0,100.0,auto,l1,newton-cg,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,111,,,,,
169,0.0,0.0,0.0,0.0,100.0,auto,l1,sag,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'sag'}",,,,,,112,,,,,
170,0.0016662279764811199,0.0009441456074592242,0.0,0.0,100.0,auto,l1,saga,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'saga'}",,,,,,113,,,,,
171,0.0006666978200276693,0.0004714338745680192,0.0,0.0,100.0,auto,l1,lbfgs,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,114,,,,,
172,0.00196989377339681,2.1782233615856192e-05,0.0,0.0,100.0,auto,l2,newton-cg,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'newton-cg'}",,,,,,115,,,,,
173,0.0026769638061523438,0.0004830288627595715,0.0,0.0,100.0,auto,l2,sag,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'sag'}",,,,,,117,,,,,
174,0.0026748975118001304,0.00043913847425156174,0.0,0.0,100.0,auto,l2,saga,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'saga'}",,,,,,124,,,,,
175,0.0023756027221679688,0.0005290278155694693,0.0,0.0,100.0,auto,l2,lbfgs,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",,,,,,118,,,,,
176,0.001641670862833659,0.00045551487495064304,0.0,0.0,100.0,auto,none,newton-cg,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'newton-cg'}",,,,,,119,,,,,
177,0.002001682917277018,4.6449150073377155e-06,0.0,0.0,100.0,auto,none,sag,"{'C': 100.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'sag'}",,,,,,120,,,,,
