,param_C,param_kernel,mean_train_score,mean_test_score
0,1e-05,poly,0.5,0.5
1,1e-05,rbf,0.5,0.5
2,3.1622776601683795e-05,poly,0.5,0.5
3,3.1622776601683795e-05,rbf,0.5,0.5
4,0.0001,poly,0.5,0.5
5,0.0001,rbf,0.5,0.5
6,0.00031622776601683794,poly,0.5,0.5
7,0.00031622776601683794,rbf,0.5,0.5
8,0.001,poly,0.5,0.5
9,0.001,rbf,0.5,0.5
10,0.0031622776601683794,poly,0.5,0.5
11,0.0031622776601683794,rbf,0.5,0.5
12,0.01,poly,0.5,0.5
13,0.01,rbf,0.5,0.5
14,0.03162277660168379,poly,0.5,0.5
15,0.03162277660168379,rbf,0.5,0.5
16,0.1,poly,0.5155537496049484,0.5
17,0.1,rbf,0.5165695968215268,0.5083333333333333
18,0.31622776601683794,poly,0.6296672536006139,0.5207686335403726
19,0.31622776601683794,rbf,0.6421121882316517,0.5994953416149068
20,1.0,poly,0.8174248434305321,0.5829321946169772
21,1.0,rbf,0.7884006372425714,0.6160843685300207
22,3.1622776601683795,poly,0.9294679540514567,0.5912396480331262
23,3.1622776601683795,rbf,0.9170197945086201,0.5787914078674948
24,10.0,poly,0.9792509174874068,0.5580227743271221
25,10.0,rbf,0.9802861141747773,0.5538561076604555
26,31.622776601683793,poly,0.9968847352024922,0.5456392339544512
27,31.622776601683793,rbf,0.9989615784008308,0.5435041407867495
28,100.0,poly,1.0,0.5311206004140786
29,100.0,rbf,1.0,0.5414337474120082
30,316.22776601683796,poly,1.0,0.5331909937888198
31,316.22776601683796,rbf,1.0,0.5414337474120082
32,1000.0,poly,1.0,0.5331909937888198
33,1000.0,rbf,1.0,0.5414337474120082
34,3162.2776601683795,poly,1.0,0.5331909937888198
35,3162.2776601683795,rbf,1.0,0.5414337474120082
36,10000.0,poly,1.0,0.5331909937888198
37,10000.0,rbf,1.0,0.5414337474120082
38,31622.776601683792,poly,1.0,0.5331909937888198
39,31622.776601683792,rbf,1.0,0.5414337474120082
