,param_C,param_kernel,mean_train_score,mean_test_score
0,1e-05,poly,0.5,0.5
1,1e-05,rbf,0.5,0.5
2,3.1622776601683795e-05,poly,0.5,0.5
3,3.1622776601683795e-05,rbf,0.5,0.5
4,0.0001,poly,0.5,0.5
5,0.0001,rbf,0.5,0.5
6,0.00031622776601683794,poly,0.5,0.5
7,0.00031622776601683794,rbf,0.5,0.5
8,0.001,poly,0.5,0.5
9,0.001,rbf,0.5,0.5
10,0.0031622776601683794,poly,0.5497797385241513,0.5560041407867494
11,0.0031622776601683794,rbf,0.5,0.5
12,0.01,poly,0.5580871113175054,0.5580745341614907
13,0.01,rbf,0.5,0.5
14,0.03162277660168379,poly,0.5591255329166747,0.5601449275362319
15,0.03162277660168379,rbf,0.5,0.5
16,0.1,poly,0.5632759944015531,0.5622153209109731
17,0.1,rbf,0.5612023761150132,0.5580745341614907
18,0.31622776601683794,poly,0.5736634353050444,0.5580745341614907
19,0.31622776601683794,rbf,0.5632792193133517,0.5601578674948241
20,1.0,poly,0.5809227117638333,0.5560041407867494
21,1.0,rbf,0.5777913224073322,0.5726319875776398
22,3.1622776601683795,poly,0.5798810652528653,0.5622412008281573
23,3.1622776601683795,rbf,0.5912843533729352,0.5622412008281573
24,10.0,poly,0.5923453493546951,0.5622412008281573
25,10.0,rbf,0.6099598175989887,0.5622541407867495
26,31.622776601683793,poly,0.614129628554659,0.5684912008281573
27,31.622776601683793,rbf,0.6400256702979173,0.5684653209109731
28,100.0,poly,0.6431731842134117,0.5601966873706005
29,100.0,rbf,0.7354830595383216,0.5829321946169772
30,316.22776601683796,poly,0.6608037770166986,0.5622282608695652
31,316.22776601683796,rbf,0.8029385396309411,0.5622541407867495
32,1000.0,poly,0.6805176628419213,0.5456004140786749
33,1000.0,rbf,0.8661790600027088,0.5726319875776398
34,3162.2776601683795,poly,0.6203246841198893,0.4648291925465838
35,3162.2776601683795,rbf,0.9284198577168915,0.5352613871635611
36,10000.0,poly,0.714756551408319,0.4936723602484472
37,10000.0,rbf,0.963681043323465,0.5331651138716357
38,31622.776601683792,poly,0.6732519365595352,0.4938664596273292
39,31622.776601683792,rbf,0.985465322523429,0.5144798136645963
