,param_C,param_kernel,mean_train_score,mean_test_score
0,1e-05,poly,0.5,0.5
1,1e-05,rbf,0.5,0.5
2,3.1622776601683795e-05,poly,0.5,0.5
3,3.1622776601683795e-05,rbf,0.5,0.5
4,0.0001,poly,0.5,0.5
5,0.0001,rbf,0.5,0.5
6,0.00031622776601683794,poly,0.5,0.5
7,0.00031622776601683794,rbf,0.5,0.5
8,0.001,poly,0.5,0.5
9,0.001,rbf,0.5,0.5
10,0.0031622776601683794,poly,0.5,0.5
11,0.0031622776601683794,rbf,0.5,0.5
12,0.01,poly,0.5010384215991692,0.5
13,0.01,rbf,0.5,0.5
14,0.03162277660168379,poly,0.5103680914326992,0.5020703933747411
15,0.03162277660168379,rbf,0.5,0.5
16,0.1,poly,0.5726024393232845,0.5290502070393375
17,0.1,rbf,0.570496571918758,0.5394539337474119
18,0.31622776601683794,poly,0.6421121882316517,0.57675983436853
19,0.31622776601683794,rbf,0.6732132376179512,0.6389233954451345
20,1.0,poly,0.7354798346265229,0.568542960662526
21,1.0,rbf,0.7313454977006378,0.6285714285714286
22,3.1622776601683795,poly,0.8236489232019504,0.5933876811594202
23,3.1622776601683795,rbf,0.8236618228491451,0.612008281573499
24,10.0,poly,0.8724095895977245,0.5497800207039337
25,10.0,rbf,0.9180517662841922,0.5746894409937887
26,31.622776601683793,poly,0.9190805131479655,0.5435429606625259
27,31.622776601683793,rbf,0.97094999451765,0.5186335403726708
28,100.0,poly,0.9501944621814594,0.5456133540372671
29,100.0,rbf,0.9968847352024922,0.5165890269151138
30,316.22776601683796,poly,0.9833981540604864,0.5226966873706004
31,316.22776601683796,rbf,1.0,0.5124611801242236
32,1000.0,poly,0.9916958521184446,0.5144409937888198
33,1000.0,rbf,1.0,0.5124611801242236
34,3162.2776601683795,poly,0.9979231568016615,0.520703933747412
35,3162.2776601683795,rbf,1.0,0.5124611801242236
36,10000.0,poly,1.0,0.5165631469979296
37,10000.0,rbf,1.0,0.5124611801242236
38,31622.776601683792,poly,1.0,0.5144927536231884
39,31622.776601683792,rbf,1.0,0.5124611801242236
