,param_C,param_degree,param_gamma,param_kernel,mean_train_score,mean_test_score
99,1e-05,3,auto,sigmoid,0.5,0.5
100,1e-05,3,scale,linear,0.5414788155543945,0.5228649068322981
101,1e-05,3,scale,poly,0.5,0.5
102,1e-05,3,scale,rbf,0.5,0.5
103,1e-05,3,scale,sigmoid,0.5,0.5
104,1e-05,3,1,linear,0.5414788155543945,0.5228649068322981
105,1e-05,3,1,poly,0.6441213082822185,0.4939182194616977
106,1e-05,3,1,rbf,0.5,0.5
107,1e-05,3,1,sigmoid,0.5,0.5
108,1e-05,3,2,linear,0.5414788155543945,0.5228649068322981
109,1e-05,3,2,poly,0.6441213082822185,0.4939182194616977
110,1e-05,3,2,rbf,0.5,0.5
111,1e-05,3,2,sigmoid,0.5,0.5
112,1e-05,3,3,linear,0.5414788155543945,0.5228649068322981
113,1e-05,3,3,poly,0.5996272001960746,0.47697981366459635
114,1e-05,3,3,rbf,0.5,0.5
115,1e-05,3,3,sigmoid,0.5,0.5
116,1e-05,3,4,linear,0.5414788155543945,0.5228649068322981
117,1e-05,3,4,poly,0.6441213082822185,0.4939182194616977
118,1e-05,3,4,rbf,0.5,0.5
119,1e-05,3,4,sigmoid,0.5,0.5
120,1e-05,3,5,linear,0.5414788155543945,0.5228649068322981
121,1e-05,3,5,poly,0.601600846216856,0.45226449275362324
122,1e-05,3,5,rbf,0.5,0.5
123,1e-05,3,5,sigmoid,0.5,0.5
124,1e-05,3,6,linear,0.5414788155543945,0.5228649068322981
125,1e-05,3,6,poly,0.5996272001960746,0.47697981366459635
126,1e-05,3,6,rbf,0.5,0.5
127,1e-05,3,6,sigmoid,0.5,0.5
128,1e-05,3,7,linear,0.5414788155543945,0.5228649068322981
129,1e-05,3,7,poly,0.6110079139335539,0.4874741200828157
130,1e-05,3,7,rbf,0.5,0.5
131,1e-05,3,7,sigmoid,0.5,0.5
132,1e-05,3,8,linear,0.5414788155543945,0.5228649068322981
133,1e-05,3,8,poly,0.6441213082822185,0.4939182194616977
134,1e-05,3,8,rbf,0.5,0.5
135,1e-05,3,8,sigmoid,0.5,0.5
136,1e-05,3,9,linear,0.5414788155543945,0.5228649068322981
137,1e-05,3,9,poly,0.5996755738730546,0.45001293995859215
138,1e-05,3,9,rbf,0.5,0.5
139,1e-05,3,9,sigmoid,0.5,0.5
140,1e-05,3,10,linear,0.5414788155543945,0.5228649068322981
141,1e-05,3,10,poly,0.601600846216856,0.45226449275362324
142,1e-05,3,10,rbf,0.5,0.5
143,1e-05,3,10,sigmoid,0.5,0.5
144,1e-05,4,auto,linear,0.5414788155543945,0.5228649068322981
145,1e-05,4,auto,poly,0.6223628283766439,0.4462085921325052
146,1e-05,4,auto,rbf,0.5,0.5
147,1e-05,4,auto,sigmoid,0.5,0.5
148,1e-05,4,scale,linear,0.5414788155543945,0.5228649068322981
149,1e-05,4,scale,poly,0.5,0.5
150,1e-05,4,scale,rbf,0.5,0.5
151,1e-05,4,scale,sigmoid,0.5,0.5
152,1e-05,4,1,linear,0.5414788155543945,0.5228649068322981
153,1e-05,4,1,poly,0.6202988848255,0.5083721532091098
154,1e-05,4,1,rbf,0.5,0.5
155,1e-05,4,1,sigmoid,0.5,0.5
156,1e-05,4,2,linear,0.5414788155543945,0.5228649068322981
157,1e-05,4,2,poly,0.6202988848255,0.5083721532091098
158,1e-05,4,2,rbf,0.5,0.5
159,1e-05,4,2,sigmoid,0.5,0.5
160,1e-05,4,3,linear,0.5414788155543945,0.5228649068322981
161,1e-05,4,3,poly,0.6182349412743561,0.5124741200828158
162,1e-05,4,3,rbf,0.5,0.5
163,1e-05,4,3,sigmoid,0.5,0.5
164,1e-05,4,4,linear,0.5414788155543945,0.5228649068322981
165,1e-05,4,4,poly,0.6202988848255,0.5083721532091098
166,1e-05,4,4,rbf,0.5,0.5
167,1e-05,4,4,sigmoid,0.5,0.5
168,1e-05,4,5,linear,0.5414788155543945,0.5228649068322981
169,1e-05,4,5,poly,0.6130815322200939,0.48119824016563145
170,1e-05,4,5,rbf,0.5,0.5
171,1e-05,4,5,sigmoid,0.5,0.5
172,1e-05,4,6,linear,0.5414788155543945,0.5228649068322981
173,1e-05,4,6,poly,0.6182349412743561,0.5124741200828158
174,1e-05,4,6,rbf,0.5,0.5
175,1e-05,4,6,sigmoid,0.5,0.5
176,1e-05,4,7,linear,0.5414788155543945,0.5228649068322981
177,1e-05,4,7,poly,0.6337499919377204,0.49381469979296067
178,1e-05,4,7,rbf,0.5,0.5
179,1e-05,4,7,sigmoid,0.5,0.5
180,1e-05,4,8,linear,0.5414788155543945,0.5228649068322981
181,1e-05,4,8,poly,0.6202988848255,0.5083721532091098
182,1e-05,4,8,rbf,0.5,0.5
183,1e-05,4,8,sigmoid,0.5,0.5
184,1e-05,4,9,linear,0.5414788155543945,0.5228649068322981
185,1e-05,4,9,poly,0.6380004256883574,0.48554606625258795
186,1e-05,4,9,rbf,0.5,0.5
187,1e-05,4,9,sigmoid,0.5,0.5
188,1e-05,4,10,linear,0.5414788155543945,0.5228649068322981
189,1e-05,4,10,poly,0.6130815322200939,0.48119824016563145
190,1e-05,4,10,rbf,0.5,0.5
191,1e-05,4,10,sigmoid,0.5,0.5
192,3.1622776601683795e-05,1,auto,linear,0.5435556587527332,0.5228649068322981
193,3.1622776601683795e-05,1,auto,poly,0.5186915887850466,0.5082815734989649
194,3.1622776601683795e-05,1,auto,rbf,0.5,0.5
195,3.1622776601683795e-05,1,auto,sigmoid,0.5,0.5
196,3.1622776601683795e-05,1,scale,linear,0.5435556587527332,0.5228649068322981
197,3.1622776601683795e-05,1,scale,poly,0.5,0.5
198,3.1622776601683795e-05,1,scale,rbf,0.5,0.5
199,3.1622776601683795e-05,1,scale,sigmoid,0.5,0.5
200,3.1622776601683795e-05,1,1,linear,0.5435556587527332,0.5228649068322981
201,3.1622776601683795e-05,1,1,poly,0.5435556587527332,0.5228649068322981
202,3.1622776601683795e-05,1,1,rbf,0.5,0.5
203,3.1622776601683795e-05,1,1,sigmoid,0.5,0.5
204,3.1622776601683795e-05,1,2,linear,0.5435556587527332,0.5228649068322981
205,3.1622776601683795e-05,1,2,poly,0.5570519146301348,0.533203933747412
206,3.1622776601683795e-05,1,2,rbf,0.5,0.5
207,3.1622776601683795e-05,1,2,sigmoid,0.5,0.5
208,3.1622776601683795e-05,1,3,linear,0.5435556587527332,0.5228649068322981
209,3.1622776601683795e-05,1,3,poly,0.5601671794276426,0.5414855072463768
210,3.1622776601683795e-05,1,3,rbf,0.5,0.5
211,3.1622776601683795e-05,1,3,sigmoid,0.5,0.5
212,3.1622776601683795e-05,1,4,linear,0.5435556587527332,0.5228649068322981
213,3.1622776601683795e-05,1,4,poly,0.5612056010268119,0.5373447204968943
214,3.1622776601683795e-05,1,4,rbf,0.5,0.5
215,3.1622776601683795e-05,1,4,sigmoid,0.5,0.5
216,3.1622776601683795e-05,1,5,linear,0.5435556587527332,0.5228649068322981
217,3.1622776601683795e-05,1,5,poly,0.5601704043394413,0.5415113871635611
218,3.1622776601683795e-05,1,5,rbf,0.5,0.5
219,3.1622776601683795e-05,1,5,sigmoid,0.5,0.5
220,3.1622776601683795e-05,1,6,linear,0.5435556587527332,0.5228649068322981
221,3.1622776601683795e-05,1,6,poly,0.5622504724495785,0.5456521739130434
222,3.1622776601683795e-05,1,6,rbf,0.5,0.5
223,3.1622776601683795e-05,1,6,sigmoid,0.5,0.5
224,3.1622776601683795e-05,1,7,linear,0.5435556587527332,0.5228649068322981
225,3.1622776601683795e-05,1,7,poly,0.5653625123352876,0.5456521739130434
226,3.1622776601683795e-05,1,7,rbf,0.5,0.5
227,3.1622776601683795e-05,1,7,sigmoid,0.5,0.5
228,3.1622776601683795e-05,1,8,linear,0.5435556587527332,0.5228649068322981
229,3.1622776601683795e-05,1,8,poly,0.5674361306218274,0.5498188405797101
230,3.1622776601683795e-05,1,8,rbf,0.5,0.5
231,3.1622776601683795e-05,1,8,sigmoid,0.5,0.5
232,3.1622776601683795e-05,1,9,linear,0.5435556587527332,0.5228649068322981
233,3.1622776601683795e-05,1,9,poly,0.5674361306218274,0.547748447204969
234,3.1622776601683795e-05,1,9,rbf,0.5,0.5
235,3.1622776601683795e-05,1,9,sigmoid,0.5,0.5
236,3.1622776601683795e-05,1,10,linear,0.5435556587527332,0.5228649068322981
237,3.1622776601683795e-05,1,10,poly,0.5674361306218274,0.547748447204969
238,3.1622776601683795e-05,1,10,rbf,0.5,0.5
239,3.1622776601683795e-05,1,10,sigmoid,0.5,0.5
240,3.1622776601683795e-05,2,auto,linear,0.5435556587527332,0.5228649068322981
241,3.1622776601683795e-05,2,auto,poly,0.6753126551988803,0.6410714285714285
242,3.1622776601683795e-05,2,auto,rbf,0.5,0.5
243,3.1622776601683795e-05,2,auto,sigmoid,0.5,0.5
244,3.1622776601683795e-05,2,scale,linear,0.5435556587527332,0.5228649068322981
245,3.1622776601683795e-05,2,scale,poly,0.5,0.5
246,3.1622776601683795e-05,2,scale,rbf,0.5,0.5
247,3.1622776601683795e-05,2,scale,sigmoid,0.5,0.5
248,3.1622776601683795e-05,2,1,linear,0.5435556587527332,0.5228649068322981
249,3.1622776601683795e-05,2,1,poly,0.6234528485645917,0.45652173913043476
250,3.1622776601683795e-05,2,1,rbf,0.5,0.5
251,3.1622776601683795e-05,2,1,sigmoid,0.5,0.5
252,3.1622776601683795e-05,2,2,linear,0.5435556587527332,0.5228649068322981
253,3.1622776601683795e-05,2,2,poly,0.5830253542565611,0.44809782608695653
254,3.1622776601683795e-05,2,2,rbf,0.5,0.5
255,3.1622776601683795e-05,2,2,sigmoid,0.5,0.5
256,3.1622776601683795e-05,2,3,linear,0.5435556587527332,0.5228649068322981
257,3.1622776601683795e-05,2,3,poly,0.5964603368097882,0.5103907867494825
258,3.1622776601683795e-05,2,3,rbf,0.5,0.5
259,3.1622776601683795e-05,2,3,sigmoid,0.5,0.5
260,3.1622776601683795e-05,2,4,linear,0.5435556587527332,0.5228649068322981
261,3.1622776601683795e-05,2,4,poly,0.5529337022632431,0.4542443064182195
262,3.1622776601683795e-05,2,4,rbf,0.5,0.5
263,3.1622776601683795e-05,2,4,sigmoid,0.5,0.5
264,3.1622776601683795e-05,2,5,linear,0.5435556587527332,0.5228649068322981
265,3.1622776601683795e-05,2,5,poly,0.5664557574350341,0.4915760869565218
266,3.1622776601683795e-05,2,5,rbf,0.5,0.5
267,3.1622776601683795e-05,2,5,sigmoid,0.5,0.5
268,3.1622776601683795e-05,2,6,linear,0.5435556587527332,0.5228649068322981
269,3.1622776601683795e-05,2,6,poly,0.4999967750882013,0.4605590062111801
270,3.1622776601683795e-05,2,6,rbf,0.5,0.5
271,3.1622776601683795e-05,2,6,sigmoid,0.5,0.5
272,3.1622776601683795e-05,2,7,linear,0.5435556587527332,0.5228649068322981
273,3.1622776601683795e-05,2,7,poly,0.5135059306127977,0.45218685300207034
274,3.1622776601683795e-05,2,7,rbf,0.5,0.5
275,3.1622776601683795e-05,2,7,sigmoid,0.5,0.5
276,3.1622776601683795e-05,2,8,linear,0.5435556587527332,0.5228649068322981
277,3.1622776601683795e-05,2,8,poly,0.5850828479841076,0.5000258799171843
278,3.1622776601683795e-05,2,8,rbf,0.5,0.5
279,3.1622776601683795e-05,2,8,sigmoid,0.5,0.5
280,3.1622776601683795e-05,2,9,linear,0.5435556587527332,0.5228649068322981
281,3.1622776601683795e-05,2,9,poly,0.600588223912076,0.4938276397515528
282,3.1622776601683795e-05,2,9,rbf,0.5,0.5
